discounted_price,actual_price,discount_percentage,rating,rating_count,review_title,main_category,sub_category
15490.0,20900.0,26.0,4.3,16299.0,"Good,Sound is very low another brand comparing in better,Service provider not meet my home refuse, tv i am not using bad service,Good product,Ok super,Floor stand does not come with it ...,Good,A budget friendly TV with a clumsy UI and Remote",Electronics,"HomeTheater,TV&Video"
499.0,1299.0,62.0,4.3,30411.0,"Worth for money - suitable for Android auto,Good Product,Length,Nice,Original,Very good quay Cable support fast charging.,Original MI cable for charging upto 33 watt,I am veri happy with this product as it provide turbo charging.",Computers&Accessories,Accessories&Peripherals
249.0,399.0,38.0,3.4,4642.0,"Install CSR Driver For Advanced Features + Stability (More Than Just Bluetooth),Thik h,Driver installation CD was missing from the package.,Not compatible for office usage,Spr,THIS IS MY 2ND ORDER,Waste of time & Money , Not recommend,Wrong product delivered.",Computers&Accessories,NetworkingDevices
399.0,799.0,50.0,4.3,12.0,do not buy,Electronics,"HomeTheater,TV&Video"
1499.0,1999.0,25.0,4.4,1951.0,"Perfect product,Better than the original cable,Better then original,Good,The Very Best,Works absolutely fine,Charging is very slow.,Best Product",Computers&Accessories,Accessories&Peripherals
9490.0,15990.0,41.0,3.9,10480.0,"VFM and kudos to egate to launch a fhd projector at the lowest price and it is not bad at all,Good Bluetooth Projector,What more can you ask for at this price!!?,Good for winter nights.,Nice purchase,Value for money,WORTH EVERY PENNY SPENT...,Value for money",Electronics,"HomeTheater,TV&Video"
637.0,1499.0,58.0,4.1,24.0,"good,Worth product,Good quality,Very good HDMI 2.1 cable,Best hdmi 2.1 cable 8k 60hz / 4k 120hz,Did not like the quality and when connected I see a red color picture,Value for money  must buy it for eArc",Electronics,"HomeTheater,TV&Video"
399.0,899.0,56.0,3.9,254.0,"Working good.,All functions are working,Few buttons were not properly functional,Its better then original even its light weight with softr buttons.,In this price range it's oky product,Good for the price. The buttons look good not hard like other remotes. It's a good to go product,Not user friendly remote no voice recognition option but it value for money,Good",Electronics,"HomeTheater,TV&Video"
1089.0,1600.0,32.0,4.0,3565.0,"Satisfactory one,Optical cable loose contact,Digital to Analogue converter,Its a good Product to connect Home Theater Music System without optical audio port.,Very good product.,Good,High quality amezon basic top notch go for best sound quality,Good",Electronics,"HomeTheater,TV&Video"
339.0,999.0,66.0,4.3,6255.0,"Good pick for Galaxy Note 9,Durable and quality product,Best Cable for Android Auto,The cable I will always carry when I pack my stuff for a ride.,Good charging capacity and data transfers,I bought it for my bike,Excellent,👍",Computers&Accessories,Accessories&Peripherals
149.0,499.0,70.0,4.0,7732.0,"Very good product and met my need.  Thanks,Decent value,Nice quality… trustable…,Just well in this price.,supports 2.4 amps fast charging,Nice,Nice.,Value for money",Computers&Accessories,Accessories&Peripherals
149.0,399.0,63.0,3.9,57.0,"Quality is good,Very sturdy,Very Good Item for the price offered,This lightening cable support data transfer as well got this at ₹99,Lightning cable,worst product.,Great,It's very good product I really happy it's quality was amazing thankyou Amazon",Computers&Accessories,Accessories&Peripherals
599.0,849.0,29.0,4.5,577.0,"Good only for Charging,Well it's a great cable you can trust on,Another quality product from Belkin & Amazon,60W support not clear,Become a belkin fan,Happy with performance,The only competitor to original cables,good",Computers&Accessories,Accessories&Peripherals
299.0,1199.0,75.0,3.9,1193.0,"Worthy product,Very good generic remote for Samsung LED/LCD TV.,Working👍,Overall good,Good built quality,Durability is my concern,It is perfect for Samsung smart tv,good",Electronics,"HomeTheater,TV&Video"
399.0,1299.0,69.0,4.2,13120.0,"Good product,Is worth the money you are paying for it,Good quality cable,Go for it!,Nice product☑️,Good buy,You can trust Wayona,Quality product  , Life of product is good  .",Computers&Accessories,Accessories&Peripherals
339.0,1999.0,83.0,4.0,343.0,"really good producers,Thompson smart tv remote control,Best for Kodak tv,I love it,Not feather touch,Working fine,Best without voice control,Value for Money",Electronics,"HomeTheater,TV&Video"
12499.0,22990.0,46.0,4.3,1611.0,"Tv working good.,Value of money,Acer 32  Sound bar tv review,product is good but one lie by the seller (i.e. 16GB space),Cromecast not working in this smart TV.,Awesome clarity and sound,Awesome sound system like a sound bar picture quality is impressive and connected good,Budget friendly Smart TV",Electronics,"HomeTheater,TV&Video"
249.0,399.0,38.0,4.0,6558.0,"Great to use, serves the purpose,Good Quality,Good,Good one,It's okay,Good original cable,Good quality,V good product",Computers&Accessories,Accessories&Peripherals
1399.0,2499.0,44.0,4.4,23169.0,"Good device and makes your laptop to utilize maximum wifi speed.,Good Product, worth of buying,Best to recieve 5g or fiber speed,Good,This is really a good Wifi-Adpater and a life saver,Wifi 5 speeds are amazing!,Booster speed,Best Product to Buy",Computers&Accessories,NetworkingDevices
32999.0,47990.0,31.0,4.3,4703.0,"Wonderful TV and Awful installation service from amazon,Acer Television Review,It's a good product for that price.,Good for the price,Almost a complete package,Nice Product,Good product,Super designed",Electronics,"HomeTheater,TV&Video"
